wikidata_id,name,primary_class,sitelinks,stop_eligible,wiki_extract,meters_away
Q123692020,Ədibin evi,museum,4,true,"Ədibin evi və ya Mir Cəlal Paşayevin ev muzeyi — Azərbaycan yazıçısı Mir Cəlal Paşayevin Bakıda, İçərişəhərdə yerləşən ev-muzeyi.
Muzey 2017-ci il aprelin 27-də Mir Cəlal Paşayevin yaşadığı İçərişəhərdəki binada açılıb. Yazıçı bu evdə 1920–1940-cı illərdə yaşayıb. Paşayevin 109 illik yubileyi münasibətilə yazıçının ailəsi evi təmir etdirib. Məhz bu evdə yazıçı ""Bir gəncin manifesti"", ""Dirilən adam"", ""Füzuli sənətkarlığı"" elmi əsərini və bəzi satirik hekayələrini yazıb. Muzeydə yazıçının fotolarından ibarət sərgi, eləcə də onun kitabları nümayiş etdirilir.",174.76274985
Q6869733,Baku fortress,architectural structure,12,true,"Baku Fortress (Azerbaijani: Bakı Qalası, Persian: قلعه باکو) is a medieval building in Baku, Azerbaijan, the largest of Absheron fortresses. The fortress consists of the Icheri Sheher and the walls and towers surrounding it, and it was included by UNESCO into the World Cultural Heritage List in 2000.
It was built in about 1138–1139 on the order of the Iranian Shirvanshah Manuchohr III (1120–1149).
Based on traveler's illustrations and photos of the 19th century, the fortress consisted of a double wall. The first wall was built by the Shirvanshah III Manuchohr, and the second wall was built during the time of Shirvanshah Akhsitan I.
However, the second fortress walls were destroyed during the reign of Russia in Azerbaijan. The first fortress wall still remains. Baku Fortress has two gates. One of them opened to the Caspian Sea and the other to land.
The city walls, which had a height of 8–12 meters and a width of 3.5 meters, provided for Baku's security. In the Middle Ages, the fortress walls were 1500 meters long and now the walls are 500 meters long.
In the northern part of the fortress, there is the main tower - quadrangular castle. This fortress is called ""armory"" in the nation's etiology.
The peculiarity of the armory is that, despite being a defensive unit, builders have strengthened the wall by raising it in the center of the fortress wall, not in the center of the city.",175.37055986
Q29854113,Kichik Gala street,architectural structure,4,true,"Улица Кичик Гала (азерб. Kiçik Qala küçəsi — Малая Крепостная) — улица в Баку, в Старом городе (Ичери-шехер), от улицы Асафа Зейналлы у Сальянских ворот до улицы Бёюк Гала (Большая Крепостная) у Шемахинских ворот.",178.33546831
Q25540504,Building of the Executive Authority of the Baku City,building,7,true,"The Building of Baku City Executive Power is an administrative building in Azerbaijan's capital Baku, at Istiglaliyyat Street, 4. The building was built in Baroque style in 1900–1904 on the basis of Polish architect Józef Gosławski's project. The building is the last work of Gosławski. After his death in 1904, the project was initially led by Kazimierz Skórewicz, later by the Polish architect  Józef Płoszko.
The building was constructed on the order of Baku Duma and is currently being used by executive authority of Baku. The building is registered as a national architectural monument by the decision of the Cabinet of Ministers of Azerbaijan dated 2 August 2001, No. 132.",179.52200161
Q12849537,Sheikh Ibrahim Mosque,mosque,15,true,"The Sheikh Ibrahim Mosque (Azerbaijani: Şeyx İbrahim Məscidi, Persian: مسجد شیخ ابراهیم) is a historical mosque, located on Asaf Zeynalli Street, in the Old City of Baku, in Azerbaijan.
Completed in the 15th century by the Iranian Shirvanshahs, the mosque was designated as an important immovable historical and cultural monument in Azerbaijan by the decision of the Cabinet of Ministers of the Republic of Azerbaijan on August 2, 2001, with the number 132.
During the Soviet occupation, worship in the mosque was halted. Currently, the building of the mosque houses a madrasa, where educational activities are conducted, located near the Jumu'ah Mosque.",189.46778545
Q14814854,Agha Mikayil Bath,building,11,true,"Баня Ага Микаила (азерб. Ağa Mİkayıl hamamı) — старинная баня, расположенная в исторической части города Баку (Азербайджан), Ичери-шехере, в юго-западной части крепости, на улице Кичик Гала (Малая Крепостная), напротив крепостных стен. Построена в XVIII веке
Баня была построена жителем Шемахи Гаджи Ага Микаилом, в квартале, который до сих пор известен в народе под названием «Квартал банщиков». Вход в баню расположен со стороны улицы Малая Крепостная. В отличие от других бань в Старом городе здесь внутренние помещения более просторные.
Раздевалка и купальня в плане представляют собой квадрат. Стрельчатые арки и купола разделяют общую композицию на пропорциональные ярусы. Баня имеет отличный от остальных бань Ичери-шехера дымоход.
В бане Ага Микаила проходили съёмки некоторых сцен фильма «Не та, так эта», снятого по мотивам одноимённой оперетты Узеира Гаджибекова. В связи с этим баню называют в народе и баней Мешади Ибада, главного героя комедии.
Согласно распоряжению Кабинета Министров Азербайджанской Республики об исторических и культурных памятниках баня Ага Микаила является «памятником истории и культуры национального значения»
В 2011 году согласно «Подробному Генеральному плану консервации исторического центра города Баку» Кабинета министров Азербайджана баня Ага Микаила была отреставрирована при участии местных и иностранных специалистов.",190.99081705
Q47487564,Mammadov's Residence,building,7,true,"Qəni Məmmədovun evi — Bakıda, İçərişəhərdə Asəf Zeynallı 45 ünvanında 1908-ci ildə tikilmiş 3 mərtəbəli yaşayış evi.
Tacir Qəni Məmmədova məxsus olan bina Qasımov qardaşları tərəfindən tikilib. Aprel işğalından sonra isə baxımsız qalıb.
Azərbaycan müstəqilliyini yenidən bərpa etdikdən sonra bina Azərbaycan Respublikası Nazirlər Kabinetinin 2 avqust 2001-ci ildə verdiyi 132 nömrəli qərar ilə yerli əhəmiyyətli daşınmaz tarix və mədəniyyət abidələrinin siyahısına salınıb.",207.86521932
Q4160569,Juma Mosque in Baku,mosque,22,true,"The Juma Mosque (Azerbaijani: Cümə məscidi, Persian: مسجد جمعه), also known as the Friday Mosque, is a Shia Islam mosque, located in Baku, Azerbaijan.
An inscription on the mosque mentions that “Amir Sharaf al-Din Mahmud ordered the restoration of this mosque in the month of Rajab 709 AH (1309/1310 CE)”. On the northern wall of the mosque a minaret was erected which a balcony supported by stalactites in the year of 1437. It was build under the Iranian Shirvansahs.
Located in the historic Icheri Sheher, the mosque has been rebuilt several times. The present Friday Mosque was built in 1899 under the financing of Baku philanthropist merchant Haji Shikhlali Dadashov. There are traces of a Zoroastrian temple at the site.
In the cultural life of the medieval region of Shirvan, the cathedral mosque served as a socio-cultural center.",212.63920023
Q29965119,Asef Zeynali street,architectural structure,5,true,"Улица Асафа Зейналлы (азерб. Asəf Zeynallı küçəsi) — улица в Баку, в историческом районе Ичери-шехер (Старый город), от Башенной улицы до улицы Кичик Гала. Один из главных туристических маршрутов города.",220.40153121
Q16417538,Sayyid Yahya Murtuza Mosque,mosque,12,true,"The Sayyid Yahya Murtuza mosque (Azerbaijani: Seyid Yahya Murtuza məscidi, Persian: مسجد سید یحیی مرتضی) is a historical former mosque, located on Asaf Zeynalli street, in the Old City of Baku, in Azerbaijan. Completed in the 17th century, the building was registered as a national architectural monument by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132.",225.96773293
Q106586993,Salyan Gate of Baku Fortress,architectural structure,4,true,Salyan qapısı – Bakı qalasının cənub-qərb divarında yerləşən qapıdır. Salyan darvazası Azneft meydanına açılan bağda yerləşir. Qapı günbəzvari şəkildə tağbənd formasında tikilmişdir.,229.2535961
Q20980828,Quadrangular Tower,building,8,true,"Quadrangular Tower (Azerbaijani: Dördbucaqlı qala, Persian: برج چهار گوش), or Keeper of the Fortress of Baku (Azerbaijani: Bakı qalasının donjonu, Persian: نگهبان قلعه باکو), is a stone keep built in the 14th century by the Iranian Shirvanshahs. It is part of the Old City in Baku, Azerbaijan. On August 2, 2001, the building was declared a ""national architectural monument"" by the Cabinet of Azerbaijan.",233.67183799
Q12840947,Small Caravanserai,building,7,true,"The Small Caravanserai in Baku, Azerbaijan has a square shape and an inner quadrangular courtyard with cut corners. This caravanserai was built in the 12th century. There is a long balcony which surrounds the building of the caravanserai. The north and south entrances of the caravanserai are portal-shaped. During the Middle Ages, there was a main entrance from the sea. The caravanserai has a defensive construction and two floors on the southern side.

It is a monument of national importance. The caravanserai consisted of counters from the shopping street that did not have direct communication with the courtyard. However, it is believed that there used to be a functioning Madrasah nearby which was part of the Jameh (Juma) complex and the rooms of the caravanserai were considered for students studying in Madrasah.
The caravanserai now features an ""Art garden"" which includes art galleries, several workshops of artisans and a restaurant of both national and European cuisines. 
Each room of the monument has been decorated by a different Azerbaijani artist.",233.99213754
Q16414359,The Declaration of Independence monument,monument,12,true,"The Declaration of Independence monument was erected on the Istiglaliyyat Street in honor of the Azerbaijan Democratic Republic, and was opened on May 25, 2007.  The monument is located between the buildings of the Institute of Manuscripts of the National Academy of Sciences and the Azerbaijan State Economic University. The Declaration of Independence proclaimed by the National Council of Azerbaijan on May 28, 1918 in Tiflis city, Georgia. This day is celebrated as Republic Day since May 28, 1992.",234.90453772
Q19799922,Madrasa mosque (Ichery Sheher),mosque,6,true,"Mədrəsə-məscid — Bakı şəhərinin ən qədim hissəsi İçərişəhərdə yerləşən, artıq mövcud olmayan Came məscidinin hücrə qalıqlarından biri olan və bir müddət mədrəsə-məscid kimi fəaliyyət göstərmiş, indi isə dükan olan tarixi abidə.",237.19276343
Q12840429,ANAS House-Museum of Huseyn Javid,museum,9,true,"Huseyn Javid's House Museum is a scientific research institute incorporated into the Science Department of the Azerbaijan National Academy of Sciences (ANAS). The museum was created at the house where Azerbaijani poet and playwright Huseyn Javid lived during 1920–1937.

",239.54851418
Q4306396,Independence Museum of Azerbaijan,museum,13,true,"The Independence Museum of Azerbaijan or ""Istiqlal"" Museum (Azerbaijani: İstiqlal Muzeyi) – is a museum established on 7 December 1919 in Baku – the capital of the Azerbaijan Democratic Republic. H. Mirzajamalov and I. M. Aghaoglu had a great role in the creation of the museum. Archeological finds, exemplars of rare books, objects of numismatics, jewelry, etc. were collected in the museum.
The museum was located in the building of the ADR's Parliament (at present – the building of the Institute of Manuscripts of Azerbaijan National Academy of Sciences). It is noted that, namely at that time, an attempt at making a legal document about organizing and storing museum items was undertaken. The museum existed only a year and could not realize all intended plans. It was liquidated in 1920, when Soviet power was established in Baku. Materials collected in the museum became basis for the ""Muzexcurs"" foundations and the Azerbaijan State Museum.
The second Independence Museum was established on 9 January 1991 with only 7,000 exhibits. Due to subsequent attempts and investigations of the museum's collections, the number of exhibits reached 20,000. The main goal of the museum is to highlight the national independence movement of Azerbaijan from ancient times to the present. The exposition of the museum is exhibited in six halls:
The first hall is dedicated to the history of Azerbaijan from the ancient times to the 19th century, the second hall to the history of Azerbaijan between the second half of the 19th and 20th centuries, the third hall to the national independence movement in the Southern Azerbaijan in the first half of the 20th century, the fourth hall to the history of Azerbaijan during repression and the Great Patriotic War, the fifth hall to national independence movement of Azerbaijan at the end of the 20th century and the first Karabakh War, and the sixth hall to the history of Independent Republic of Azerbaijan and activity of the national leader Heydar Aliyev.
There are masterpieces of art and architecture, maps, pictures, books, currencies and other exhibits in the Independence Museum of Azerbaijan. Many expositions and activities dedicated to historical events are held in the exposition of the museum.
The museum opens its doors during such events as the International Day for Monuments and Sites (18 April), International Museum Day (18 May) and World Tourism Day (27 September).
Free access to the museum is available for members of ICOM (International Council of Museums), museum workers, military personnel, veterans of World War II, victims of the Karabakh war and Black January.
The museum also has a children's circle called ""We are the heirs of the independence"", where children are offered a variety of tasks and told about the history of the state in entertaining form.",240.05549383
Q97223556,The House of Ramazanovs,building,5,true,"The House of Ramazanovs (Azerbaijani: Ramazanovların evi) is a 19th-century building located in the Old City of Baku, the capital of Azerbaijan. The building was completed in 1895 by order of merchant Haji Mammadkarim Ramazanov, designed in the National Romantic style by an unknown architect.",246.03979555
Q6538185,Lezgi Mosque,mosque,16,true,"Aşur məscidi və ya Ləzgi məscidi — İçəri Şəhərdə yerləşən və ölkə əhəmiyyətli abidə olan məscid.
İçərişəhərin tarixi mərkəzində Qız qalası ilə Sınıqqala məscidi arasında yerləşən qədim məscid. Məscid XIX əsrin sonu XX əsrin əvvəllərindən etibarən əsasən Dağıstandan köçmüş, xalq arasında ləzgi adlanan camaatın daha çox toplanması ilə əlaqədar olaraq Ləzgi məscidi kimi də tanınmışdır.",248.51591444
Q12843520,House-Museum of Nariman Narimanov,museum,8,true,"Дом-музей Наримана Нариманова (азерб. Nəriman Nərimanovun ev-muzeyi) — учреждение культуры Баку, мемориальный музей, посвящённый азербайджанскому писателю, врачу, председателю СНК Азербайджанской ССР Нариману Нариманову. Расположен в доме, где Нариманов жил с 1913 по 1918 год, современный адрес — улица Истиглалият, 35. Открытие музея состоялось в 1977 году. В музее выставлены личные вещи Наримана Нариманова, документы и фотографии, портреты и пр.",250.34316202
Q12842223,Molla Ahmad Mosque,mosque,14,true,"The Molla Ahmad Mosque (Azerbaijani: Molla Əhməd Məscidi, Persian: مسجد ملا احمد), also known as the Nasir ad-Din Gashtasib Mosque (Azerbaijani: Nəsir ad-Din Gəştasib Məscidi, Persian: مسجد نصیرالدین گشتاسب), is a former mosque, located on Sabir street, in the Icherisheher of Baku, the capital of Azerbaijan. Completed in 1300 CE, the former mosque was registered as a national architectural monument by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132.",252.44754007
Q29934120,Boyuk Gala Street,architectural structure,5,true,"Улица Бёюк Гала (азерб. Böyük Qala küçəsi — Большая Крепостная) — улица в Баку, в историческом районе Ичери-шехер (Старый город), от улицы Асафа Зейналлы до улицы Кичик Гала (Шемахинские ворота).
Один из главных туристических маршрутов Старого города.",253.10080464
Q19798499,Mirza Ahmed Mosque,mosque,11,true,"Mirzə Əhməd məscidi — İçərişəhərdə yerləşən XIV əsrə aid ölkə əhəmiyyətli tarix-memarlıq abidəsi, məscid.
Məscid, Azərbaycan Respublikası Nazirlər Kabinetinin 2 avqust 2001-ci ildə verdiyi 132 nömrəli qərar ilə ölkə əhəmiyyətli daşınmaz tarix və mədəniyyət abidələrinin siyahısına salınıb.
Hazırda fəaliyyət göstərmir, bağlıdır, tavanı uçub və tikili özü də qəzalı vəziyyətdədir, dağılmaq üzrədir.",253.72548575
Q344569,Old City of Baku,architectural structure,49,true,"Old City or Inner City (Azerbaijani: İçərişəhər) is the historical core of Baku, the capital of Azerbaijan. The Old City is the most ancient part of Baku, which is surrounded by walls. In 2007, the Old City had a population of about 3,000 people. In December 2000, the Old City of Baku, including the Palace of the Shirvanshahs and Maiden Tower, became the first location in Azerbaijan to be classified as a UNESCO World Heritage Site.",256.18952715
Q19799928,Takiya (Ichery Sheher),building,13,true,"Takya (Azerbaijani: Təkiyə, Persian: تکیا) is a historical monument of the 13th century by the Iranian Shirvanshahs. It is a part of Old City and located on Gazi Muhammed street, in the city of Baku, in Azerbaijan. The building was also registered as a national architectural monument by the decision of the Cabinet of Ministers of the Republic of Azerbaijan dated August 2, 2001, No. 132.",264.61504912
Q58823,Azerbaijan State Philharmonic Hall,building,17,true,"The Muslim Magomayev Azerbaijan State Academic Philharmonic Hall (Azerbaijani: Müslüm Maqomayev adına Azərbaycan Dövlət Akademik Filarmoniyası), located in Baku, is a concert hall in Azerbaijan. Since 2006 Murad Adigozalzade is the director of the Azerbaijan State Academic Philharmonic Hall.
The building was designed by Gabriel Ter-Mikelov, an architect of Armenian descent, and was constructed in 1910–1912.",266.98137983
Q14814260,Gasim bey Bath,building,9,true,"The Gasim bey Bath, built in the 17th century, is a medieval monument of national importance. Also named Sweet Bath for the sweets served to bathers with their tea, it is located near the Salyan gates of the fortress, Icheri Sheher, Azerbaijan.
The bath has a traditional design, with an entrance hall, a cloakroom, baths, swimming pools and a boiler-house. Cross-shaped domes are in the dressing room and swimming pool. They were located on the sides of rooms with their chambers. Ceramic tubes were located in the walls and under the floor for supplying water and heating.
In 1970, the bath was reconstructed, and turned into a pharmacy known as the “Green Pharmacy”.",273.77969913
Q4189918,Ismailiyya building,building,16,true,"The Ismailiyya Palace (Azerbaijani: İsmailiyyə Sarayı, Polish: Pałac Ismailia) is a historical building that currently serves as the Presidium of the Academy of Sciences of Azerbaijan. It is on Istiglaliyyat Street in Baku. The palace was constructed for a Charity Society by Polish architect Józef Płoszko, at the expense of the millionaire Musa Naghiyev in commemoration of his deceased son Ismayil, and was named Ismailiyya after him.
Construction began in 1908 and ended in 1913.",275.10040089
